	(1)	(2)	(3)	(4)
VARIABLES	2007	2008	2009	2010
				
belowBench2006	-0.0299	0.0198	-0.0255	-0.0385
	(0.0342)	(0.0708)	(0.0605)	(0.0716)
LISPremiumNeg	-0.0284***	-0.0463***	-0.0420***	-0.0449***
	(0.00576)	(0.00772)	(0.00497)	(0.00880)
LISPremiumPos	-0.0396***	0.000636	-0.0110	-0.0137
	(0.0107)	(0.0123)	(0.0126)	(0.0127)
				
Observations	425	369	264	232
R-squared	0.400	0.244	0.258	0.197
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
