	(1)	(2)	(3)	(4)
VARIABLES	2007	2008	2009	2010
				
lnS_2006	-0.0119	0.00737	-0.00911	-0.0137
	(0.0142)	(0.0255)	(0.0218)	(0.0261)
LISPremiumNeg	-0.0285***	-0.0463***	-0.0420***	-0.0453***
	(0.00551)	(0.00748)	(0.00489)	(0.00904)
LISPremiumPos	-0.0413***	0.00159	-0.0123	-0.0156
	(0.0107)	(0.0117)	(0.0121)	(0.0112)
				
Observations	425	369	264	232
R-squared	0.382	0.256	0.238	0.184
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
