	(1)	(2)	(3)	(4)
VARIABLES	2007	2008	2009	2010
				
belowBench2006	2.507***	2.692***	2.797***	2.802***
	(0.292)	(0.372)	(0.429)	(0.463)
LISPremiumNeg	-0.00862	0.00228	-0.00213	-0.0260
	(0.0298)	(0.0279)	(0.0412)	(0.0381)
LISPremiumPos	-0.138***	-0.130**	-0.139*	-0.139
	(0.0490)	(0.0600)	(0.0767)	(0.0829)
				
Observations	425	369	264	232
R-squared	0.711	0.709	0.714	0.714
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
